using time: 0.022299, loss: 0.85358185
using time: 0.016639, loss: 0.77688003
using time: 0.016656, loss: 0.82922637
using time: 0.015625, loss: 0.80639076
using time: 0.014806, loss: 0.86826807
using time: 0.015543, loss: 0.82953745
using time: 0.021359, loss: 0.85678518
using time: 0.014778, loss: 0.78826386
using time: 0.017733, loss: 0.84048307
using time: 0.017733, loss: 0.83045900
using time: 0.013964, loss: 0.86702508
using time: 0.022551, loss: 0.79706502
using time: 0.017628, loss: 0.86037737
using time: 0.019930, loss: 0.85073471
using time: 0.025076, loss: 0.86916006
using time: 0.022080, loss: 0.80256242
using time: 0.013889, loss: 0.84361929
using time: 0.016496, loss: 0.79779571
using time: 0.012932, loss: 0.83784354
using time: 0.019255, loss: 0.88550293
using time: 0.015482, loss: 0.80772281
using time: 0.017188, loss: 0.84918135
using time: 0.025940, loss: 0.81137091
using time: 0.015650, loss: 0.79186159
using time: 0.014018, loss: 0.81486022
using time: 0.030865, loss: 0.87152743
using time: 0.018454, loss: 0.83395767
using time: 0.019493, loss: 0.81803393
using time: 0.019119, loss: 0.79857492
using time: 0.013008, loss: 0.83293885
using time: 0.016473, loss: 0.82168245
using time: 0.024635, loss: 0.81973326
using time: 0.029773, loss: 0.82195067
using time: 0.025339, loss: 0.81641459
using time: 0.022971, loss: 0.80280709
using time: 0.020865, loss: 0.82516366
using time: 0.019279, loss: 0.81414908
using time: 0.019453, loss: 0.80998719
using time: 0.022740, loss: 0.86556280
using time: 0.019041, loss: 0.83048362
using time: 0.015796, loss: 0.88066149
using time: 0.024746, loss: 0.81125242
using time: 0.014514, loss: 0.82273239
using time: 0.019624, loss: 0.81294632
using time: 0.018723, loss: 0.84298319
using time: 0.013690, loss: 0.81055635
using time: 0.021605, loss: 0.81008744
using time: 0.016209, loss: 0.74944788
using time: 0.016929, loss: 0.81542104
using time: 0.017434, loss: 0.79794472
using time: 0.021113, loss: 0.80057174
using time: 0.018466, loss: 0.81224978
using time: 0.013493, loss: 0.86122924
using time: 0.015954, loss: 0.80934507
using time: 0.014231, loss: 0.81259841
using time: 0.021099, loss: 0.86721396
using time: 0.015563, loss: 0.89243180
using time: 0.024453, loss: 0.84263748
using time: 0.013591, loss: 0.84888786
using time: 0.024206, loss: 0.82163656
using time: 0.024097, loss: 0.87712502
using time: 0.016607, loss: 0.82426816
using time: 0.018015, loss: 0.83026159
using time: 0.015968, loss: 0.80377501
using time: 0.013542, loss: 0.84667206
using time: 0.015707, loss: 0.85794014
using time: 0.022078, loss: 0.85026526
using time: 0.018604, loss: 0.85440749
using time: 0.019338, loss: 0.86123770
using time: 0.015725, loss: 0.82316488
using time: 0.016190, loss: 0.83229548
using time: 0.018889, loss: 0.79673874
using time: 0.015213, loss: 0.83481741
using time: 0.017313, loss: 0.85438269
using time: 0.020555, loss: 0.81341559
using time: 0.014151, loss: 0.81717980
using time: 0.021077, loss: 0.84492117
using time: 0.020524, loss: 0.80376023
using time: 0.022360, loss: 0.82913911
using time: 0.014205, loss: 0.86859429
using time: 0.016593, loss: 0.85092944
using time: 0.016465, loss: 0.83984947
using time: 0.014763, loss: 0.79579633
using time: 0.015775, loss: 0.80701751
using time: 0.014012, loss: 0.80463606
using time: 0.020558, loss: 0.81477785
using time: 0.020754, loss: 0.85167331
using time: 0.018419, loss: 0.81964296
using time: 0.015850, loss: 0.80433828
using time: 0.015331, loss: 0.87834638
using time: 0.017287, loss: 0.80257225
using time: 0.018037, loss: 0.81443214
using time: 0.016723, loss: 0.84038126
using time: 0.019357, loss: 0.80939275
using time: 0.016467, loss: 0.83046126
using time: 0.015791, loss: 0.83805048
using time: 0.017630, loss: 0.84926325
using time: 0.028307, loss: 0.86980486
using time: 0.026423, loss: 0.80560815
using time: 0.017089, loss: 0.81103462
using time: 0.020611, loss: 0.84816504
using time: 0.023495, loss: 0.83928609
using time: 0.013984, loss: 0.84002340
using time: 0.015461, loss: 0.85520709
using time: 0.024782, loss: 0.82515025
using time: 0.017409, loss: 0.83528900
using time: 0.020542, loss: 0.84969008
using time: 0.013453, loss: 0.85865164
using time: 0.016712, loss: 0.83384848
using time: 0.017788, loss: 0.81614858
using time: 0.018836, loss: 0.82826751
using time: 0.013322, loss: 0.81064636
using time: 0.019418, loss: 0.80249888
using time: 0.019295, loss: 0.81096107
using time: 0.016413, loss: 0.82913107
using time: 0.018382, loss: 0.82713884
using time: 0.018975, loss: 0.82671684
using time: 0.019137, loss: 0.84359705
using time: 0.018712, loss: 0.86380303
using time: 0.017344, loss: 0.79982013
using time: 0.018345, loss: 0.80838156
using time: 0.014722, loss: 0.79480910
using time: 0.021357, loss: 0.79568923
using time: 0.021208, loss: 0.79767531
using time: 0.017117, loss: 0.86633062
using time: 0.016018, loss: 0.86575407
using time: 0.014679, loss: 0.82969111
using time: 0.020283, loss: 0.79736829
using time: 0.014667, loss: 0.85422629
using time: 0.013614, loss: 0.85397983
using time: 0.022451, loss: 0.85106695
using time: 0.018201, loss: 0.86762613
using time: 0.020473, loss: 0.82236397
using time: 0.020580, loss: 0.85145754
using time: 0.018706, loss: 0.81932795
using time: 0.017553, loss: 0.81253952
using time: 0.022691, loss: 0.80994856
using time: 0.020388, loss: 0.77758247
using time: 0.015329, loss: 0.82139665
using time: 0.020664, loss: 0.81694496
using time: 0.019569, loss: 0.84311366
using time: 0.025237, loss: 0.81451714
using time: 0.020872, loss: 0.80277741
using time: 0.023817, loss: 0.83475655
using time: 0.015729, loss: 0.85952437
using time: 0.020265, loss: 0.79874247
using time: 0.015805, loss: 0.84986001
using time: 0.016345, loss: 0.85294127
using time: 0.016745, loss: 0.82408983
using time: 0.021207, loss: 0.82612038
using time: 0.016857, loss: 0.85849851
using time: 0.022401, loss: 0.82639921
using time: 0.014057, loss: 0.81384140
using time: 0.019916, loss: 0.80566871
using time: 0.012955, loss: 0.79600734
using time: 0.019260, loss: 0.84865671
using time: 0.019719, loss: 0.81684524
using time: 0.015543, loss: 0.86357379
using time: 0.024065, loss: 0.82441360
using time: 0.017805, loss: 0.80966914
using time: 0.019511, loss: 0.85023826
using time: 0.031478, loss: 0.83884650
using time: 0.015507, loss: 0.83364892
using time: 0.013571, loss: 0.83025092
using time: 0.018527, loss: 0.84813011
using time: 0.016510, loss: 0.82603776
using time: 0.034414, loss: 0.84757590
using time: 0.015069, loss: 0.84676504
using time: 0.034317, loss: 0.82118714
using time: 0.033317, loss: 0.83976042
using time: 0.016338, loss: 0.82512003
using time: 0.017929, loss: 0.83205789
using time: 0.016989, loss: 0.83924109
using time: 0.015548, loss: 0.80709982
using time: 0.026887, loss: 0.82952398
using time: 0.022109, loss: 0.86575854
using time: 0.021176, loss: 0.80906183
using time: 0.016655, loss: 0.83409262
using time: 0.026983, loss: 0.79804671
using time: 0.014902, loss: 0.82411307
using time: 0.018640, loss: 0.81811929
using time: 0.014064, loss: 0.80783224
using time: 0.012559, loss: 0.87197232
using time: 0.018143, loss: 0.84542167
using time: 0.016534, loss: 0.85524553
using time: 0.015488, loss: 0.81354636
using time: 0.019252, loss: 0.84712827
using time: 0.022427, loss: 0.80704570
using time: 0.022772, loss: 0.79997206
using time: 0.017707, loss: 0.78535646
using time: 0.014319, loss: 0.83049965
using time: 0.021797, loss: 0.85308433
using time: 0.017299, loss: 0.82482314
using time: 0.018672, loss: 0.85688049
using time: 0.015426, loss: 0.84795457
using time: 0.017964, loss: 0.78631157
using time: 0.021254, loss: 0.81928098
using time: 0.016576, loss: 0.85544389
using time: 0.013310, loss: 0.81752801
using time: 0.019852, loss: 0.84172720
using time: 0.022641, loss: 0.83543050
using time: 0.020300, loss: 0.84236127
using time: 0.016494, loss: 0.85650480
using time: 0.023928, loss: 0.79719836
using time: 0.015427, loss: 0.85574692
using time: 0.014709, loss: 0.83946580
using time: 0.021085, loss: 0.85342276
using time: 0.016356, loss: 0.81189591
using time: 0.014365, loss: 0.78431845
using time: 0.015785, loss: 0.82704347
using time: 0.015065, loss: 0.83768922
using time: 0.018222, loss: 0.81516808
using time: 0.017417, loss: 0.82083237
using time: 0.017733, loss: 0.79216868
using time: 0.019601, loss: 0.85987085
using time: 0.017721, loss: 0.79671621
using time: 0.018123, loss: 0.85445356
using time: 0.021786, loss: 0.80855751
using time: 0.024330, loss: 0.87818629
using time: 0.015515, loss: 0.84068471
using time: 0.017044, loss: 0.82147104
using time: 0.016980, loss: 0.85082924
using time: 0.014830, loss: 0.82589185
using time: 0.018075, loss: 0.81137055
using time: 0.020847, loss: 0.85174388
using time: 0.020466, loss: 0.83792055
using time: 0.022441, loss: 0.84008896
using time: 0.016391, loss: 0.80643290
using time: 0.020276, loss: 0.84206033
using time: 0.013708, loss: 0.86951429
using time: 0.025625, loss: 0.85557717
using time: 0.019916, loss: 0.84551346
using time: 0.029631, loss: 0.83466536
using time: 0.019961, loss: 0.83733147
using time: 0.016797, loss: 0.86551851
using time: 0.014707, loss: 0.84314299
using time: 0.015355, loss: 0.80946487
using time: 0.019337, loss: 0.81522489
using time: 0.021956, loss: 0.82458818
using time: 0.016319, loss: 0.82197642
using time: 0.013353, loss: 0.84998024
using time: 0.017541, loss: 0.83922356
using time: 0.024498, loss: 0.79204482
using time: 0.017326, loss: 0.80554396
using time: 0.023560, loss: 0.84577614
